fdc_id,description,short_description,food_code,wweia_food_category,wweia_food_category_description
2340760,"Milk, human",Milk,11000000,9602,Human milk
2340761,"Milk, NFS",Milk,11100000,1004,"Milk, reduced fat"
2340763,"Milk, reduced fat (2%)",Milk,11112110,1004,"Milk, reduced fat"
2340768,"Milk, lactose free, reduced fat (2%)",Milk,11114330,1004,"Milk, reduced fat"
2340780,"Milk, evaporated, reduced fat (2%)",Milk,11211400,1004,"Milk, reduced fat"
2340762,"Milk, whole",Milk,11111000,1002,"Milk, whole"
2340769,"Milk, lactose free, whole",Milk,11114350,1002,"Milk, whole"
2340771,"Buttermilk, whole",Buttermilk,11115300,1002,"Milk, whole"
2340773,"Goat's milk, whole",Goat's milk14202010,11116000,1002,"Milk, whole"
2340775,"Milk, dry, reconstituted, whole",Milk,11121100,1002,"Milk, whole"
2340778,"Milk, evaporated, NS as to fat content",Milk,11210050,1002,"Milk, whole"
2340779,"Milk, evaporated, whole",Milk,11211050,1002,"Milk, whole"
2340764,"Milk, low fat (1%)",Milk,11112210,1006,"Milk, lowfat"
2340766,"Milk, lactose free, low fat (1%)",Milk,11114300,1006,"Milk, lowfat"
2340772,"Kefir, NS as to fat content",Kefir,11115400,1006,"Milk, lowfat"
2340776,"Milk, dry, reconstituted, low fat (1%)",Milk,11121210,1006,"Milk, lowfat"
2340765,"Milk, fat free (skim)",Milk,11113000,1008,"Milk, nonfat"
2340767,"Milk, lactose free, fat free (skim)",Milk,11114320,1008,"Milk, nonfat"
2340770,"Buttermilk, fat free (skim)",Buttermilk,11115000,1008,"Milk, nonfat"
2340774,"Milk, dry, reconstituted, NS as to fat content",Milk,11120000,1008,"Milk, nonfat"
2340777,"Milk, dry, reconstituted, fat free (skim)",Milk,11121300,1008,"Milk, nonfat"
2340781,"Milk, evaporated, fat free (skim)",Milk,11212050,1008,"Milk, nonfat"
2340782,"Milk, condensed, sweetened",Milk,11220000,1202,"Flavored milk, whole"
2340847,"Chocolate milk, ready to drink, whole",Chocolate milk,11511100,1202,"Flavored milk, whole"
2340858,"Chocolate milk, made from dry mix with whole milk",Chocolate milk,11513100,1202,"Flavored milk, whole"
2340863,"Chocolate milk, made from dry mix with whole milk (Nesquik)",Chocolate milk,11513381,1202,"Flavored milk, whole"
2340871,"Chocolate milk, made from syrup with whole milk",Chocolate milk,11513500,1202,"Flavored milk, whole"
2340876,"Chocolate milk, made from light syrup with whole milk",Chocolate milk,11513801,1202,"Flavored milk, whole"
2340880,"Chocolate milk, made from sugar free syrup with whole milk",Chocolate milk,11513851,1202,"Flavored milk, whole"
2340882,"Hot chocolate / Cocoa, made with dry mix and whole milk",Hot chocolate / Cocoa,11514110,1202,"Flavored milk, whole"
2340888,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",Hot chocolate / Cocoa,11514320,1202,"Flavored milk, whole"
2340894,"Strawberry milk, whole",Strawberry milk,11519050,1202,"Flavored milk, whole"
2340783,"Non-dairy milk, NFS",Non-dairy milk,11300100,1404,Milk substitutes
2340784,Soy milk,Soy milk,11320000,1404,Milk substitutes
2340785,"Soy milk, light",Soy milk,11320100,1404,Milk substitutes
2340786,"Soy milk, nonfat",Soy milk,11320200,1404,Milk substitutes
2340787,"Soy milk, chocolate",Soy milk,11321000,1404,Milk substitutes
2340788,"Soy milk, light, chocolate",Soy milk,11321100,1404,Milk substitutes
2340789,"Almond milk, sweetened",Almond milk,11350000,1404,Milk substitutes
2340790,"Almond milk, sweetened, chocolate",Almond milk,11350010,1404,Milk substitutes
2340791,"Almond milk, unsweetened",Almond milk,11350020,1404,Milk substitutes
2340792,"Almond milk, unsweetened, chocolate",Almond milk,11350030,1404,Milk substitutes
2340793,Rice milk,Rice milk,11360000,1404,Milk substitutes
2340794,Coconut milk,Coconut milk,11370000,1404,Milk substitutes
2340856,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",Hot chocolate / Cocoa,11512030,1404,Milk substitutes
2340861,"Chocolate milk, made from dry mix with non-dairy milk",Chocolate milk,11513310,1404,Milk substitutes
2340867,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",Chocolate milk,11513385,1404,Milk substitutes
2340869,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",Chocolate milk,11513395,1404,Milk substitutes
2340875,"Chocolate milk, made from syrup with non-dairy milk",Chocolate milk,11513750,1404,Milk substitutes
2340886,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",Hot chocolate / Cocoa,11514150,1404,Milk substitutes
2340892,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",Hot chocolate / Cocoa,11514360,1404,Milk substitutes
2340899,"Strawberry milk, non-dairy",Strawberry milk,11519215,1404,Milk substitutes
2343044,"Coconut milk, used in cooking",Coconut milk,42401010,1404,Milk substitutes
2343046,"Coconut cream, canned, sweetened",Coconut cream,42402010,1404,Milk substitutes
2340795,"Yogurt, NFS",Yogurt,11400000,1820,"Yogurt, regular"
2340797,"Yogurt, NS as to type of milk or flavor",Yogurt,11410000,1820,"Yogurt, regular"
2340798,"Yogurt, NS as to type of milk, plain",Yogurt,11411010,1820,"Yogurt, regular"
2340799,"Yogurt, whole milk, plain",Yogurt,11411100,1820,"Yogurt, regular"
2340800,"Yogurt, low fat milk, plain",Yogurt,11411200,1820,"Yogurt, regular"
2340801,"Yogurt, nonfat milk, plain",Yogurt,11411300,1820,"Yogurt, regular"
2340806,"Yogurt, NS as to type of milk, fruit",Yogurt,11430000,1820,"Yogurt, regular"
2340807,"Yogurt, whole milk, fruit",Yogurt,11431000,1820,"Yogurt, regular"
2340808,"Yogurt, low fat milk, fruit",Yogurt,11432000,1820,"Yogurt, regular"
2340809,"Yogurt, nonfat milk, fruit",Yogurt,11433000,1820,"Yogurt, regular"
2340814,"Yogurt, NS as to type of milk, flavors other than fruit",Yogurt,11434090,1820,"Yogurt, regular"
2340815,"Yogurt, whole milk, flavors other than fruit",Yogurt,11434100,1820,"Yogurt, regular"
2340816,"Yogurt, low fat milk, flavors other than fruit",Yogurt,11434200,1820,"Yogurt, regular"
2340817,"Yogurt, nonfat milk, flavors other than fruit",Yogurt,11434300,1820,"Yogurt, regular"
2340823,"Yogurt, liquid",Yogurt,11436000,1820,"Yogurt, regular"
2340830,"Yogurt parfait, low fat, with fruit",Yogurt parfait,11446000,1820,"Yogurt, regular"
