Product Name,UPC Code,Serving Size,Serving Size Unit,Product Size,Price,Protein,Total lipid (fat),"Carbohydrate, by difference",Energy - kcal,Energy - kJ,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin A, IU",Vitamin E (alpha-tocopherol),"Vitamin D (D2 + D3), International Units",Vitamin E,"Vitamin C, total ascorbic acid",Thiamin	Riboflavin,Niacin,Vitamin K (phylloquinone),Folic acid,"Choline, total","Sugars, total including NLEA","Fatty acids, total trans","Fatty acids, total saturated",Vitamin B-6,Vitamin B-12,"Sugars, added",Category
"Tyson Tender & Juicy Extra Meaty Fresh Pork Baby Back Ribs, 2.9 - 4.0 lb",220813000008,,,48 oz/3 lbs,13.16,12.9,15.7,12.1,250.0,250.0,0.7,29.0,1.03,,,,600.0,,143.0,,,,3.4,,,,,,10.7,0.0,5.71,,,,Pork Ribs
"Tyson Tender & Juicy Fresh Pork St. Louis Style Spareribs, 3.3 - 4.5 lb",227277000001,,,20 H87,11.58,17.0,19.6,0.0,250.0,250.0,0.0,0.0,0.96,,,,45.0,,0.0,,0.0,,0.0,,,,,,0.0,0.0,8.04,,,,Pork Spareribs
"Honeysuckle White® 97% Fat Free Ground White Turkey Tray, 1.25 lbs",642205534517,,,1.25 LBR,5.94,23.0,3.0,0.0,120.0,120.0,0.0,10.0,1.0,,,,75.0,,,,,,0.0,,,,,,0.0,0.0,1.0,,,,Ground Turkey
"Honeysuckle White® 85% Lean / 15% Fat Ground Turkey Tray, 1.25 lbs",642205534500,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground Turkey
"Great Value Large White Eggs, 12 Count",78742127071,,,,1.32,10.7,0.0,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,Eggs
"SOUR PATCH KIDS and SWEDISH FISH Mini Soft & Chewy Candy Variety Pack, 18 - 2 oz Bags",70462432855,,,25.5 oz,18.98,6.45,32.3,61.3,548.0,548.0,3.2,129.0,1.61,,,355.0,161.0,,,,13.0,,,,,,,,51.6,0.0,16.1,,,41.9,Candy Variety Pack
"Diet Coke Soda Pop, 12 fl oz, 24 Pack Cans",49000010633,,,12 fl oz,13.22,0.0,0.0,0.0,0.0,0.0,,,,,,,11.0,,,,,,,,,,,,0.0,,,,,0.0,Soda
"Kellogg's Special K Chocolate Peanut Butter Chewy Protein Meal Bars, 19 oz, 12 Count",38000791222,45.0,g,,11.64,9.09,9.09,72.7,409.0,409.0,1.8,31.0,2.56,46.0,136.0,143.0,428.0,1.78,,2.94,,,0.0,,9.09,1.2,0.0,22.4,31.8,,0.0,0.909,0.0,,Protein Bars
"Health-Ade Probiotic Kombucha Tea, Pink Lady Apple, 16 fl oz",851861006126,237.0,ml,16 fl oz/473 mL/1 PT,3.28,0.0,0.0,3.8,17.0,17.0,,,,,,,4.0,,,,,,,,,,,,1.27,,,,,,Kombucha
"Funables Paw Patrol Movie Fruit Flavored Fruit Snacks, 0.8 oz, 22 count",41420055546,22.0,g,0.8 oz,5.64,4.55,0.0,72.7,318.0,318.0,,,,,,45.0,45.0,,,,,17.0,104.0,,,,,,54.6,,,,,50.0,Fruit Snacks
"Orville Redenbacher's Movie Theater Butter Microwave Popcorn, 3.29 Oz, 12 Ct",27000523858,35.0,g,19.74 ONZ,6.36,5.71,31.4,48.6,486.0,486.0,5.7,0.0,1.71,,,0.0,1090.0,,0.0,,0.0,,0.0,,,,,,0.0,0.0,17.1,,,,Microwave Popcorn
