CATEGORY CODE,CATEGORY DESCRIPTION,SUBCATEGORY CODE,SUBCATEGORY DESCRIPTION,UPC CODE,BRAND NAME,FOOD DESCRIPTION,PACKAGE SIZE,UNIT OF MEASURE,
02,Cheese,001,Cheese - Full Pound Items,30900204079,American Heritage,Deluxe American Cheese Slices,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00076360000004,Bakers,String Cheese 16oz.,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00031142000894,BelGioiosio,fresh mozzarella block,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00031142005479,Belgioioso,Thin Sliced Fresh Mozzarella 16 oz.,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070038360568,Best Choice,Longhorn Colby,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070038360575,Best Choice,Longhorn Cheddar,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070038361008,Best Choice,Deluxe American Slices,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070038362043,Best Choice,mild cheddar shred,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070038362050,Best Choice,mozzarella shred,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070038364351,Best Choice,Mozzarella,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070038364368,Best Choice,Colby,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070038364375,Best Choice,Mild Cheddar,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070038587996,Best Choice,colby jack block,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070038589235,Best Choice,Monterey Jack,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070038597209,Best Choice,medium cheddar block,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070038597216,Best Choice,Sharp Cheddar,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070038599975,Best Choice,colby jack shred,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070038599982,Best Choice,sharp cheddar shred,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070038642305,Best Choice,String Cheese,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070038642336,Best Choice,Extra Sharp Cheddar 16oz.,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00042187022635,Best Yet,Cheddar Cheese ,16,OZ,
02,Cheese,001,Cheese - Full Pound Items,00076360115869,Bucky Badger,String Cheese,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00078354719138,Cabot,5 yr Cheddar Cheese Bar 16 oz.,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00074562004011,Cacique,Mozzarella Ball,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070980851817,Centrella,Shredded Mozzarella Cheese 16 oz.,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070980851831,Centrella,Sharp Cheddar Cheese 16 oz.,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070980852555,Centrella,Mild Cheddar Cheese Chunk,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070980852562,Centrella,Sharp Cheddar Cheese Chunk,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070980852586,Centrella,Colby Cheese Chunk,1,LB,
02,Cheese,001,Cheese - Full Pound Items,00070980852623,Centrella,Mozzarella Cheese Chunk,1,LB,
