fdc_id,wweia_food_category,wweia_food_category_description,full food code description,food_code,keyword,Schema Code,Grandparent
2340760,9602,Human milk,"Milk, human",11000000,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340761,1004,"Milk, reduced fat","Milk, NFS",11100000,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340763,1004,"Milk, reduced fat","Milk, reduced fat (2%)",11112110,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340768,1004,"Milk, reduced fat","Milk, lactose free, reduced fat (2%)",11114330,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340780,1004,"Milk, reduced fat","Milk, evaporated, reduced fat (2%)",11211400,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340762,1002,"Milk, whole","Milk, whole",11111000,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340769,1002,"Milk, whole","Milk, lactose free, whole",11114350,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340771,1002,"Milk, whole","Buttermilk, whole",11115300,Buttermilk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340773,1002,"Milk, whole","Goat's milk, whole",11116000,Goat's milk14202010,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340775,1002,"Milk, whole","Milk, dry, reconstituted, whole",11121100,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340778,1002,"Milk, whole","Milk, evaporated, NS as to fat content",11210050,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340779,1002,"Milk, whole","Milk, evaporated, whole",11211050,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340764,1006,"Milk, lowfat","Milk, low fat (1%)",11112210,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340766,1006,"Milk, lowfat","Milk, lactose free, low fat (1%)",11114300,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340772,1006,"Milk, lowfat","Kefir, NS as to fat content",11115400,Kefir,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340776,1006,"Milk, lowfat","Milk, dry, reconstituted, low fat (1%)",11121210,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340765,1008,"Milk, nonfat","Milk, fat free (skim)",11113000,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340767,1008,"Milk, nonfat","Milk, lactose free, fat free (skim)",11114320,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340770,1008,"Milk, nonfat","Buttermilk, fat free (skim)",11115000,Buttermilk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340774,1008,"Milk, nonfat","Milk, dry, reconstituted, NS as to fat content",11120000,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340777,1008,"Milk, nonfat","Milk, dry, reconstituted, fat free (skim)",11121300,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340781,1008,"Milk, nonfat","Milk, evaporated, fat free (skim)",11212050,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340782,1202,"Flavored milk, whole","Milk, condensed, sweetened",11220000,Milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340847,1202,"Flavored milk, whole","Chocolate milk, ready to drink, whole",11511100,Chocolate milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340858,1202,"Flavored milk, whole","Chocolate milk, made from dry mix with whole milk",11513100,Chocolate milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340863,1202,"Flavored milk, whole","Chocolate milk, made from dry mix with whole milk (Nesquik)",11513381,Chocolate milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340871,1202,"Flavored milk, whole","Chocolate milk, made from syrup with whole milk",11513500,Chocolate milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340876,1202,"Flavored milk, whole","Chocolate milk, made from light syrup with whole milk",11513801,Chocolate milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340880,1202,"Flavored milk, whole","Chocolate milk, made from sugar free syrup with whole milk",11513851,Chocolate milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340882,1202,"Flavored milk, whole","Hot chocolate / Cocoa, made with dry mix and whole milk",11514110,Hot chocolate / Cocoa,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340888,1202,"Flavored milk, whole","Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",11514320,Hot chocolate / Cocoa,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340894,1202,"Flavored milk, whole","Strawberry milk, whole",11519050,Strawberry milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340783,1404,Milk substitutes,"Non-dairy milk, NFS",11300100,Non-dairy milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340784,1404,Milk substitutes,Soy milk,11320000,Soy milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340785,1404,Milk substitutes,"Soy milk, light",11320100,Soy milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340786,1404,Milk substitutes,"Soy milk, nonfat",11320200,Soy milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340787,1404,Milk substitutes,"Soy milk, chocolate",11321000,Soy milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340788,1404,Milk substitutes,"Soy milk, light, chocolate",11321100,Soy milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340789,1404,Milk substitutes,"Almond milk, sweetened",11350000,Almond milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340790,1404,Milk substitutes,"Almond milk, sweetened, chocolate",11350010,Almond milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340791,1404,Milk substitutes,"Almond milk, unsweetened",11350020,Almond milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340792,1404,Milk substitutes,"Almond milk, unsweetened, chocolate",11350030,Almond milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340793,1404,Milk substitutes,Rice milk,11360000,Rice milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340794,1404,Milk substitutes,Coconut milk,11370000,Coconut milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340856,1404,Milk substitutes,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",11512030,Hot chocolate / Cocoa,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340861,1404,Milk substitutes,"Chocolate milk, made from dry mix with non-dairy milk",11513310,Chocolate milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340867,1404,Milk substitutes,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",11513385,Chocolate milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340869,1404,Milk substitutes,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",11513395,Chocolate milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340875,1404,Milk substitutes,"Chocolate milk, made from syrup with non-dairy milk",11513750,Chocolate milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340886,1404,Milk substitutes,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",11514150,Hot chocolate / Cocoa,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340892,1404,Milk substitutes,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",11514360,Hot chocolate / Cocoa,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340899,1404,Milk substitutes,"Strawberry milk, non-dairy",11519215,Strawberry milk,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2343044,1404,Milk substitutes,"Coconut milk, used in cooking",42401010,Coconut milk,"42 Nuts, nut butters, nut mixtures",Proteins
2343046,1404,Milk substitutes,"Coconut cream, canned, sweetened",42402010,Coconut cream,"42 Nuts, nut butters, nut mixtures",Proteins
2340795,1820,"Yogurt, regular","Yogurt, NFS",11400000,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340797,1820,"Yogurt, regular","Yogurt, NS as to type of milk or flavor",11410000,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340798,1820,"Yogurt, regular","Yogurt, NS as to type of milk, plain",11411010,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340799,1820,"Yogurt, regular","Yogurt, whole milk, plain",11411100,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340800,1820,"Yogurt, regular","Yogurt, low fat milk, plain",11411200,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340801,1820,"Yogurt, regular","Yogurt, nonfat milk, plain",11411300,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340806,1820,"Yogurt, regular","Yogurt, NS as to type of milk, fruit",11430000,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340807,1820,"Yogurt, regular","Yogurt, whole milk, fruit",11431000,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340808,1820,"Yogurt, regular","Yogurt, low fat milk, fruit",11432000,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340809,1820,"Yogurt, regular","Yogurt, nonfat milk, fruit",11433000,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340814,1820,"Yogurt, regular","Yogurt, NS as to type of milk, flavors other than fruit",11434090,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340815,1820,"Yogurt, regular","Yogurt, whole milk, flavors other than fruit",11434100,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340816,1820,"Yogurt, regular","Yogurt, low fat milk, flavors other than fruit",11434200,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340817,1820,"Yogurt, regular","Yogurt, nonfat milk, flavors other than fruit",11434300,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340823,1820,"Yogurt, regular","Yogurt, liquid",11436000,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340830,1820,"Yogurt, regular","Yogurt parfait, low fat, with fruit",11446000,Yogurt parfait,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2343045,1820,"Yogurt, regular","Yogurt, coconut milk",42401100,Yogurt,"42 Nuts, nut butters, nut mixtures",Proteins
2340796,1822,"Yogurt, Greek","Yogurt, Greek, NS as to type of milk or flavor",11400010,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340802,1822,"Yogurt, Greek","Yogurt, Greek, NS as to type of milk, plain",11411390,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
2340803,1822,"Yogurt, Greek","Yogurt, Greek, whole milk, plain",11411400,Yogurt,"11 Milks, milk drinks, yogurts, infant formulas",Dairy
