ID,Parent_ID,Value
1,,Food
2,1,Protein
3,1,Dairy
4,1,Vegetable
5,1,Fruit
6,1,Grain
7,1,Other
8,3,Milk and Milk Products:
9,8,"Milks, milk drinks"
10,9,Dairy Milk Varieties
11,10,Milk
12,11,"Milk, reduced fat (2%)"
13,11,"Milk, whole"
14,11,"Milk, low fat (1%)"
15,10,Processed Milk
16,15,"Milk, evaporated, whole"
17,15,"Milk, fat free (skim)"
18,15,"Milk, condensed, sweetened"
19,15,"Milk, malted"
20,10,Special Milk Types
21,20,Buttermilk
22,20,Goat’s Milk
23,9,Other Milk Types
24,23,Lactose-free milk varieties
25,24,Lactose-free milk
26,25,Lactose-free reduced fat
27,25,Lactose-free whole milk
28,25,Lactose-free skim milk
29,25,Lactose-free fat free (skim)
30,23,Non-dairy milk varieties
31,30,Soy milk
32,30,Almond milk
33,32,"Almond milk, sweetened"
34,32,"Almond milk, sweetened, chocolate"
35,32,"Almond milk, unsweetened"
36,32,"Almond milk, unsweetened, chocolate"
37,30,Rice milk
38,30,Coconut milk
39,30,Oat Milk
40,39,"Oat milk, unsweetened"
41,39,"Oat milk, sweetened"
42,30,Hemp Milk
43,42,"Hemp milk, unsweetened"
44,42,"Hemp milk, sweetened"
45,9,Flavored Milk & Drinks
46,45,Chocolate-Based Drinks
47,46,Chocolate milk
48,46,Hot chocolate / Cocoa
49,45,Fruit-Flavored Milk
50,49,Strawberry milk
51,45,Seasonal & Special Drinks
52,51,Eggnog
53,8,Yogurt Like Products
54,53,Yogurts & Dips
55,54,Yogurt
56,55,"Yogurt, whole milk, plain"
57,55,"Yogurt, low fat milk, plain"
58,55,"Yogurt, nonfat milk, plain"
59,55,"Yogurt, liquid"
60,55,"Yogurt, coconut milk"
61,55,"Yogurt, Greek"
62,55,"Yogurt, soy"
63,54,Dips
64,63,Chipotle dip
65,63,Onion dip
66,63,Ranch dip
67,63,Spinach dip
68,63,Tzatziki dip
69,63,Vegetable dip
70,53,Sour Cream
71,8,Creams and cream substitutes
72,71,Cream Products
73,72,Cream
74,72,Coffee creamer
75,74,Half & Half
76,74,Non-Dairy Creamer
77,76,Almond Milk Creamer
78,76,Soy Milk Creamer
79,74,Coffee Creamer Powder
80,8,Milk desserts and sauces
81,80,Frozen Yogurt Types
82,81,Frozen Yogurt
83,81,Frozen yogurt sandwich
84,81,Frozen yogurt bar
85,81,Frozen yogurt cone
86,80,Ice Creams and Related Products
87,86,Ice cream
88,86,Gelato
89,86,Ice cream bar
90,86,Ice cream candy bar
91,86,Ice cream sandwich
92,86,Ice cream cone
93,86,Ice cream sundae
94,86,Banana split
95,86,Soft serve
96,86,Popsicles and Similar Products
97,96,Sherbet
98,96,Creamsicle
99,96,Fudgesicle
100,96,Ice cream soda
101,80,Puddings & Custards
102,101,Pudding
103,101,Custard
104,101,Flan
105,101,Creme brulee
106,101,Firni
107,101,Banana pudding
108,101,Mousse
109,101,Dulce de leche
110,80,International Desserts
111,110,Barfi or Burfi
112,110,Trifle
113,110,Tiramisu
114,80,Other
115,114,Toppings
116,115,Whipped Cream
117,8,Cheeses
118,117,Cheese-Based Dips
119,118,Artichoke dip
120,118,Seafood dip
121,118,Cheese dip
122,118,Cheese fondue
123,117,Cheese Based Sauces
124,123,Cheese sauce
125,123,Alfredo Sauce
126,117,Cheese Type Products
127,126,Cream Cheese Products
128,127,Cream Cheese
129,127,Cream cheese spread
130,127,Cheese spread
131,126,Cheese ball
132,126,Imitation cheese
133,117,Cheese
134,133,"Cheese, Blue or Roquefort"
135,133,"Cheese, Brick"
136,133,"Cheese, Camembert"
137,133,"Cheese, Brie"
138,133,"Cheese, Cheddar"
139,133,"Cheese, Colby"
140,133,"Cheese, Feta"
141,133,"Cheese, Fontina"
142,133,"Cheese, goat"
143,133,"Cheese, Gouda or Edam"
144,133,"Cheese, Gruyere"
145,133,"Cheese, Limburger"
146,133,"Cheese, Monterey"
147,133,"Cheese, Mozzarella"
148,133,"Cheese, Muenster"
149,133,"Cheese, Parmesan"
150,133,"Cheese, Port du Salut"
151,133,"Cheese, Provolone"
152,133,"Cheese, Swiss"
153,133,"Cheese, paneer"
154,133,"Cheese, Mexican blend"
155,133,"Cheese, American"
156,133,"Cheese, Ricotta"
157,133,"Cheese, cottage"
158,117,Queso
159,158,Queso Anejo
160,158,Queso Asadero
161,158,Queso Fresco
162,158,Queso cotija
163,2,"Meat, Poultry, Fish, and Mixtures"
164,163,Red meat
165,164,Beef
166,165,Beef Steak
167,166,"Beef, steak, chuck"
168,166,"Beef, steak, cube"
169,166,"Beef, steak, flank"
170,166,"Beef, steak, ribeye"
171,166,"Beef, steak, sirloin"
