Walmart Item ID,Product Name,Category
723867836,"Tyson Tender & Juicy Extra Meaty Fresh Pork Baby Back Ribs, 2.9 - 4.0 lb",Pork Ribs
44391320,"Tyson Tender & Juicy Fresh Pork St. Louis Style Spareribs, 3.3 - 4.5 lb",Pork Spareribs
44391039,"Honeysuckle White® 97% Fat Free Ground White Turkey Tray, 1.25 lbs",Ground Turkey
44419698,"Honeysuckle White® 85% Lean / 15% Fat Ground Turkey Tray, 1.25 lbs",Ground Turkey
145051970,"Great Value Large White Eggs, 12 Count",Eggs
152957896,"SOUR PATCH KIDS and SWEDISH FISH Mini Soft & Chewy Candy Variety Pack, 18 - 2 oz Bags",Candy Variety Pack
10291583,"Diet Coke Soda Pop, 12 fl oz, 24 Pack Cans",Soda
23597987,"Kellogg's Special K Chocolate Peanut Butter Chewy Protein Meal Bars, 19 oz, 12 Count",Protein Bars
462341763,"Health-Ade Probiotic Kombucha Tea, Pink Lady Apple, 16 fl oz",Kombucha
408003847,"Funables Paw Patrol Movie Fruit Flavored Fruit Snacks, 0.8 oz, 22 count",Fruit Snacks
37911088,"Orville Redenbacher's Movie Theater Butter Microwave Popcorn, 3.29 Oz, 12 Ct",Microwave Popcorn
555295433,Mars Mixed Snickers & More Assorted Chocolate Minis Bulk Halloween Candy-61.85oz/225pc,Halloween Candy
42700681,"Stonyfield Organic Kids Whole Milk Yogurt Pouches, Strawberry Beet Berry, 3.5 oz., 4 Ct",Yogurt Pouches
24705325,"Stonyfield Organic Lowfat Yogurt Smoothies, Strawberry Banana, 3.1 fl. Oz., 6 Ct",Yogurt Smoothies
1243832418,"Hershey Assorted Chocolate Flavored Halloween Candy, Variety Bag 33.3 oz, 90 Pieces",Halloween Candy
49463965,KeVita Lemon Ginger Sparkling Probiotic 15.2 oz Bottle,Sparkling Probiotic
2398307050,"Hershey Assorted Chocolate Flavored Miniatures Halloween Candy, Bulk Bag 46.17 oz, 155 Pieces",Halloween Candy
462351429,Kingsford Baby Back Ribs 24oz,Baby Back Ribs
759166934,"Kingsford Match Light Instant Charcoal Briquettes, 12 lb",Charcoal Briquettes
2737169402,"Hershey Assorted Milk Chocolate and Fruit Flavored Halloween Candy, Variety Bag 78.5 oz, 275 Pieces",Halloween Candy
10450133,"Great Value Hot Dog Buns, White, 11 oz, 8 Count",Hot Dog Buns
13908162,"Butterball Smoked Sausage, 13oz.",Smoked Sausage
2499863981,"Hershey Assorted Chocolate Flavored Mini Halloween Candy, Bulk Variety Bag 53.34 oz, 185 Pieces",Halloween Candy
