Product Name,Walmart Item ID,UPC Code,Serving Size,Serving Size Unit,Product Size,Price,Protein,Total lipid (fat),"Carbohydrate, by difference",Energy - kcal,Energy - kJ,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin A, IU",Vitamin E (alpha-tocopherol),"Vitamin D (D2 + D3), International Units",Vitamin E,"Vitamin C, total ascorbic acid","Thiamin	Riboflavin",Niacin,Vitamin K (phylloquinone),Folic acid,"Choline, total","Sugars, total including NLEA","Fatty acids, total trans","Fatty acids, total saturated",Vitamin B-6,Vitamin B-12,"Sugars, added"
"Tyson Tender & Juicy Extra Meaty Fresh Pork Baby Back Ribs, 2.9 - 4.0 lb",723867836,220813000008,,,48 oz/3 lbs,13.16,12.9,15.7,12.1,250,250,0.7,29,1.03,,,,600,,143,,,,3.4,,,,,,10.7,0,5.71,,,
"Tyson Tender & Juicy Fresh Pork St. Louis Style Spareribs, 3.3 - 4.5 lb",44391320,227277000001,,,20 H87,11.58,17,19.6,0,250,250,0,0,0.96,,,,45,,0,,0,,0,,,,,,0,0,8.04,,,
"Honeysuckle White® 97% Fat Free Ground White Turkey Tray, 1.25 lbs",44391039,642205534517,,,1.25 LBR,5.94,23,3,0,120,120,0,10,1,,,,75,,,,,,0,,,,,,0,0,1,,,
"Honeysuckle White® 85% Lean / 15% Fat Ground Turkey Tray, 1.25 lbs",44419698,642205534500,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Great Value Large White Eggs, 12 Count",145051970,78742127071,,,,1.32,10.7,0,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOUR PATCH KIDS and SWEDISH FISH Mini Soft & Chewy Candy Variety Pack, 18 - 2 oz Bags",152957896,70462432855,,,25.5 oz,18.98,6.45,32.3,61.3,548,548,3.2,129,1.61,,,355,161,,,,13,,,,,,,,51.6,0,16.1,,,41.9
"Diet Coke Soda Pop, 12 fl oz, 24 Pack Cans",10291583,49000010633,,,12 fl oz,13.22,0,0,0,0,0,,,,,,,11,,,,,,,,,,,,0,,,,,0
"Kellogg's Special K Chocolate Peanut Butter Chewy Protein Meal Bars, 19 oz, 12 Count",23597987,38000791222,45,g,,11.64,9.09,9.09,72.7,409,409,1.8,31,2.56,46,136,143,428,1.78,,2.94,,,0,,9.09,1.2,0,22.4,31.8,,0,0.909,0,
"Health-Ade Probiotic Kombucha Tea, Pink Lady Apple, 16 fl oz",462341763,851861006126,237,ml,16 fl oz/473 mL/1 PT,3.28,0,0,3.8,17,17,,,,,,,4,,,,,,,,,,,,1.27,,,,,
"Funables Paw Patrol Movie Fruit Flavored Fruit Snacks, 0.8 oz, 22 count",408003847,41420055546,22,g,0.8 oz,5.64,4.55,0,72.7,318,318,,,,,,45,45,,,,,17,104,,,,,,54.6,,,,,50
"Orville Redenbacher's Movie Theater Butter Microwave Popcorn, 3.29 Oz, 12 Ct",37911088,27000523858,35,g,19.74 ONZ,6.36,5.71,31.4,48.6,486,486,5.7,0,1.71,,,0,1090,,0,,0,,0,,,,,,0,0,17.1,,,
Mars Mixed Snickers & More Assorted Chocolate Minis Bulk Halloween Candy-61.85oz/225pc,555295433,40000573807,,,,21.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stonyfield Organic Kids Whole Milk Yogurt Pouches, Strawberry Beet Berry, 3.5 oz., 4 Ct",42700681,52159701116,99,g,3.5 oz,5.98,5.05,3.54,12.1,101,101,0,152,0,,,212,81,,,,,,,,,,,,9.09,0,2.02,,,4
"Stonyfield Organic Lowfat Yogurt Smoothies, Strawberry Banana, 3.1 fl. Oz., 6 Ct",24705325,52159700829,,,,4.34,3.39,1.13,13.6,79,79,0,113,0,9,85,164,48,,56,,34,,0,,,,,,13,0,0.56,0.023,0.34,
"Hershey Assorted Chocolate Flavored Halloween Candy, Variety Bag 33.3 oz, 90 Pieces",1243832418,34000943722,,,,9.94,7.69,26.9,61.5,500,500,3.8,115,2.69,,,327,269,,,,,,,,,,,,53.8,0,11.5,,,50
KeVita Lemon Ginger Sparkling Probiotic 15.2 oz Bottle,49463965,853311003006,240,ml,450 mL,2.98,0,0,4.58,17,17,,,,,,,6,,,,,,,,,,,,3.75,,,,,
"Hershey Assorted Chocolate Flavored Miniatures Halloween Candy, Bulk Bag 46.17 oz, 155 Pieces",2398307050,34000952557,,,17.1 oz,16.98,5.88,29.4,61.8,500,500,2.9,118,4.12,,,412,88,,,,0,,,,,,,,52.9,0,17.6,,,47.1
Kingsford Baby Back Ribs 24oz,462351429,792338818265,140,g,,14.22,18.8,9.82,0,170,170,0,26,0.84,,,268,94,,0,,,,0,,,,,,0,0,3.57,,,
"Kingsford Match Light Instant Charcoal Briquettes, 12 lb",759166934,44600320908,,,10 fl oz/296 mL,9.82,0,0,1.69,5,5,0.3,17,0,,,,0,,0,,,,1.2,,,,,,1.35,0,0,,,
"Hershey Assorted Milk Chocolate and Fruit Flavored Halloween Candy, Variety Bag 78.5 oz, 275 Pieces",2737169402,34000944033,,,,21.97,5.88,26.5,64.7,500,500,2.9,88,2.35,,,206,44,,,,,,,,,,,,52.9,0,14.7,,,50
